Force (N) Run #3,Angle (rad) Run #3
-0.002702332,-0.06981316
0.003012085,-0.12217303
7.08E-04,-0.13962632
-0.001618958,-0.13962632
-0.001939392,-0.13962632
-0.001756287,-0.15707961
-0.005563354,-0.19198619
-0.00296936,-0.26179935
-0.006364441,-0.33161251
-0.004144287,-0.40142567
-0.006326294,-0.48869212
-0.007722473,-0.57595857
-0.009896851,-0.68067831
-0.009393311,-0.78539805
-0.007714844,-0.89011779
-0.008584595,-0.95993095
-0.01519928,-1.01229082
-0.009591675,-1.09955727
-0.014108276,-1.18682372
-0.014924622,-1.27409017
-0.014413452,-1.36135662
-0.01847229,-1.44862307
-0.021722412,-1.55334281
-0.019708252,-1.67551584
-0.023370361,-1.79768887
-0.025270081,-1.93731519
-0.025994873,-2.0943948
-0.027513123,-2.2689277
-0.02817688,-2.4434606
-0.030992126,-2.60054021
-0.035142517,-2.7925264
-0.033509827,-3.00196588
-0.03913269,-3.22885865
-0.036782837,-3.43829813
-0.038339233,-3.63028432
-0.043901062,-3.80481722
-0.044732666,-3.99680341
-0.045587158,-4.20624289
-0.053727722,-4.41568237
-0.050691223,-4.66002843
-0.052293396,-4.86946791
-0.055101013,-5.09636068
-0.056306458,-5.28834687
-0.065126038,-5.51523964
-0.063020325,-5.74213241
-0.066346741,-5.96902518
-0.067002869,-6.19591795
-0.070664978,-6.42281072
-0.070970154,-6.64970349
-0.073808289,-6.85914297
-0.077325439,-7.06858245
-0.080171204,-7.29547522
-0.081132507,-7.52236799
-0.082391357,-7.71435418
-0.088334656,-7.90634037
-0.086534119,-8.09832656
-0.089334106,-8.27285946
-0.091607666,-8.42993907
-0.094613647,-8.58701868
-0.095285034,-8.74409829
-0.097718811,-8.9011779
-0.099229431,-9.05825751
-0.098878479,-9.21533712
-0.102052307,-9.35496344
-0.104234314,-9.49458976
-0.104547119,-9.63421608
-0.108781433,-9.79129569
-0.105943298,-9.9483753
-0.111238098,-10.08800162
-0.109658813,-10.24508123
-0.112145996,-10.40216084
-0.112878418,-10.55924045
-0.118867493,-10.71632006
-0.11750946,-10.89085296
-0.119355774,-11.04793257
-0.121461487,-11.20501218
-0.122827148,-11.36209179
-0.119104004,-11.5191714
-0.121827698,-11.64134443
-0.127854919,-11.74606417
-0.127587891,-11.8682372
-0.127534485,-11.99041023
-0.129251099,-12.09512997
-0.132943726,-12.19984971
-0.135140991,-12.33947603
-0.13352356,-12.46164906
-0.138246155,-12.60127538
-0.138658142,-12.7409017
-0.139871216,-12.89798131
-0.143441772,-13.03760763
-0.141618347,-13.19468724
-0.143540955,-13.33431356
-0.146707153,-13.47393988
-0.14624176,-13.6135662
-0.148179626,-13.75319252
-0.148782349,-13.87536555
-0.150079346,-13.98008529
-0.152642822,-14.08480503
-0.156480408,-14.18952477
-0.15620575,-14.29424451
-0.157060242,-14.39896425
-0.157693481,-14.52113728
-0.16073761,-14.6607636
-0.157579041,-14.76548334
-0.167855835,-14.87020308
-0.174584961,-14.97492282
-0.185548401,-15.07964256
-0.204637146,-15.21926888
-0.228997803,-15.3588952
-0.276254272,-15.51597481
-0.35920105,-15.67305442
-0.473077393,-15.77777416
-0.512902832,-15.74286758
-0.471391296,-15.707961
-0.439492798,-15.707961
-0.414125061,-15.67305442
-0.375238037,-15.63814784
-0.341020203,-15.58578797
-0.321725464,-15.56833468
-0.311769104,-15.56833468
-0.313623047,-15.56833468
-0.300508118,-15.5334281
-0.273904419,-15.46361494
-0.242784119,-15.3588952
-0.212968445,-15.25417546
-0.197129822,-15.14945572
-0.180909729,-15.04473598
-0.170320129,-14.95746953
-0.165162659,-14.87020308
-0.159997559,-14.81784321
-0.157907104,-14.74803005
-0.154611206,-14.69567018
-0.152703857,-14.62585702
-0.152490234,-14.55604386
-0.149087524,-14.4862307
-0.151086426,-14.41641754
-0.14863739,-14.32915109
-0.150453186,-14.25933793
-0.149186707,-14.18952477
-0.150704956,-14.10225832
-0.146516418,-14.03244516
-0.145753479,-13.94517871
-0.145059204,-13.85791226
-0.147218323,-13.75319252
-0.144387817,-13.66592607
-0.143830872,-13.57865962
-0.14209137,-13.49139317
-0.141732788,-13.40412672
-0.140054321,-13.29940698
-0.138589478,-13.21214053
-0.137910461,-13.0899675
-0.134980774,-12.98524776
-0.134759521,-12.86307473
-0.131745911,-12.7409017
-0.13250885,-12.60127538
-0.128739929,-12.47910235
-0.128450012,-12.33947603
-0.125856018,-12.19984971
-0.126954651,-12.06022339
-0.119363403,-11.90314378
-0.123742676,-11.74606417
-0.122758484,-11.58898456
-0.119554138,-11.43190495
-0.118760681,-11.29227863
-0.118516541,-11.15265231
-0.114686584,-11.03047928
-0.112153625,-10.89085296
-0.110879517,-10.76867993
-0.112069702,-10.62905361
-0.111512756,-10.48942729
-0.106507874,-10.34980097
-0.106111145,-10.19272136
-0.107484436,-10.03564175
-0.10994873,-9.91346872
-0.103044128,-9.7738424
-0.103936768,-9.63421608
-0.103509521,-9.49458976
-0.105462646,-9.35496344
-0.096917725,-9.23279041
-0.097390747,-9.0757108
-0.098275757,-8.91863119
-0.095056152,-8.77900487
-0.092767334,-8.62192526
-0.092752075,-8.44739236
-0.089471436,-8.29031275
-0.08714447,-8.13323314
-0.082582092,-7.97615353
-0.082246399,-7.80162063
-0.082002258,-7.62708773
-0.084283447,-7.45255483
-0.07844696,-7.29547522
-0.077409363,-7.13839561
-0.074464417,-6.981316
-0.072679138,-6.82423639
-0.070550537,-6.66715678
-0.069818115,-6.51007717
-0.068299866,-6.37045085
-0.061746216,-6.21337124
-0.063516235,-6.03883834
-0.065133667,-5.86430544
-0.062219238,-5.72467912
-0.062043762,-5.5850528
-0.063043213,-5.46287977
-0.05716095,-5.37561332
-0.054223633,-5.25344029
-0.054566956,-5.13126726
-0.055383301,-5.00909423
-0.051690674,-4.86946791
-0.050012207,-4.72984159
-0.047532654,-4.57276198
-0.049943542,-4.41568237
-0.047799683,-4.27605605
-0.041047668,-4.13642973
-0.045617676,-3.99680341
-0.040193176,-3.85717709
-0.04052124,-3.71755077
-0.04115448,-3.59537774
-0.035340881,-3.45575142
-0.036073303,-3.3161251
-0.036058044,-3.19395207
-0.031755066,-3.07177904
-0.032060242,-2.94960601
-0.028565979,-2.80997969
-0.032624817,-2.68780666
-0.026574707,-2.56563363
-0.025193787,-2.4434606
-0.027978516,-2.32128757
-0.021401978,-2.19911454
-0.020158386,-2.05948822
-0.024598694,-1.93731519
-0.021028137,-1.83259545
-0.021081543,-1.71042242
-0.013864136,-1.58824939
-0.015626526,-1.46607636
-0.017015076,-1.36135662
-0.011262512,-1.27409017
-0.012773132,-1.20427701
-0.011384583,-1.11701056
-0.010011292,-1.02974411
-0.011949158,-0.94247766
-0.010980225,-0.8726645
-0.005357361,-0.78539805
-0.009301758,-0.71558489
-0.006341553,-0.64577173
-0.004098511,-0.55850528
-0.005738831,-0.48869212
-0.007432556,-0.41887896
-0.003396606,-0.38397238
-0.005570984,-0.3490658
-0.004953003,-0.33161251
-0.002854919,-0.33161251
-0.001489258,-0.31415922
-0.002061462,-0.29670593
6.55E-04,-0.27925264
-0.003747559,-0.26179935
0.002203369,-0.22689277
0.002111816,-0.19198619
5.55E-04,-0.12217303
0.001303101,-0.06981316
-0.001435852,-0.03490658
-7.34E-04,-0.01745329
